id;movie_title;num_launch_days;genre;mpaa_rating;total_gross;inflation_adjusted_gross
397;Miracle;232;Drama;PG;64378093;87392478
398;Confessions of a Teenage Drama Queen;231;Comedy;PG;29331068;39816568
399;Hidalgo;231;Western;PG-13;67286731;91340921
400;The Ladykillers;230;Comedy;R;39692139;53881593
401;Home on the Range;230;Comedy;PG;50026353;67910166
402;The Alamo;230;Western;PG-13;22406362;30416359
403;Raising Helen;228;Comedy;PG-13;37485528;50886144
404;Around the World in 80 Days;228;Adventure;PG;24004159;32585356
405;America's Heart and Soul;227;Documentary;Not Rated;314000;426246
406;King Arthur;227;Adventure;PG-13;51877963;70423706
407;The Village;226;Thriller/Suspense;PG-13;114197520;155021748
408;The Princess Diaries 2: Royal Engagement;226;Romantic Comedy;G;95149435;129164207
409;Mr. 3000;225;Comedy;PG-13;21800302;29593641
410;The Last Shot;224;Comedy;R;463730;629502
411;Ladder 49;224;Action;PG-13;74541707;101161045
412;The Incredibles;223;Adventure;PG;261441092;354488708
413;National Treasure;222;Adventure;PG;173005002;234069353
414;The Life Aquatic with Steve Zissou;222;Comedy;R;24006726;32198655
415;Aliens of the Deep;220;Documentary;G;8968684;11740942
416;Pooh's Heffalump Movie;220;Adventure;G;18098433;23801835
417;The Pacifier;219;Comedy;PG;113006880;148619029
418;Ice Princess;219;Comedy;G;24381334;32064685
419;A Lot Like Love;217;Comedy;PG-13;21835784;28716947
420;The Hitchhiker's Guide to the Galaxy;217;Comedy;PG;51019112;67096891
421;Hauru no ugoku shiro;216;Adventure;PG;4710455;6194870
422;Herbie: Fully Loaded;215;Comedy;G;66010682;86812798
423;Dark Water;215;Thriller/Suspense;PG-13;25473093;33500491
424;Sky High;214;Adventure;PG;63939454;84088854
425;Valiant;213;Adventure;G;19478106;25616292
426;Flightplan;212;Thriller/Suspense;PG-13;89706988;117960425
427;The Greatest Game Ever Played;212;Drama;PG;15331289;20162672
428;Shopgirl;211;Drama;R;10284523;13519621
429;Chicken Little;211;Adventure;G;135386665;177954661
430;The Chronicles of Narnia: The Lion  t…;210;Adventure;PG;291710957;381557539
431;Casanova;209;Drama;R;11304403;14574087
432;Glory Road;209;Drama;PG;42647449;54888236
433;Annapolis;208;Drama;PG-13;17127992;22044113
434;Roving Mars;208;Documentary;G;10407978;12948025
435;Eight Below;208;Adventure;PG;81612565;105037235
436;The Shaggy Dog;207;Comedy;PG;61123569;78667428
437;Stay Alive;206;Horror;PG-13;23086480;29712825
438;The Wild;206;Adventure;G;37384046;48114115
439;Stick It;205;Comedy;PG-13;26910736;34634731
440;Goal! The Dream Begins;205;Drama;PG;4283255;5512647
441;Cars;204;Comedy;G;244082982;314140384
442;Pirates of the Caribbean: Dead Man’…;203;Adventure;PG-13;423315812;544817142
443;Step Up;202;Drama;PG-13;65328121;84078780
444;Invincible;201;Drama;PG;57806952;74398864
445;The Guardian;200;Action;PG-13;55011732;70801353
446;The Prestige;199;Thriller/Suspense;PG-13;53089891;68289913
447;Tim Burton's The Nightmare Before Chr…;199;Musical;PG;24732041;30737517
448;The Santa Clause 3: The Escape Clause;199;Comedy;G;84500122;108694869
449;Déjà Vu;198;Thriller/Suspense;PG-13;64038616;82267038
450;Apocalypto;198;Adventure;R;50866635;64959548
451;Primeval;197;Adventure;R;10597734;12985302
452;Bridge to Terabithia;196;Drama;PG;82234139;100760721
453;Wild Hogs;195;Comedy;PG-13;168213584;206110533
454;Meet the Robinsons;194;Adventure;G;97822171;119860589
455;The Lookout;194;Drama;R;4600585;5637048
456;The Hoax;194;Drama;R;7164995;8779196
457;The Invisible;193;Thriller/Suspense;PG-13;20568319;25202168
458;Pirates of the Caribbean: At World’…;192;Adventure;PG-13;309420425;379129960
459;Ratatouille;191;Comedy;G;206445654;252955933
460;Underdog;190;Adventure;PG;43760605;53619462
461;The Game Plan;188;Comedy;PG;90648202;111010758
462;Dan in Real Life;187;Romantic Comedy;PG-13;47642963;58350234
463;Enchanted;186;Romantic Comedy;PG;127706877;156074310
464;National Treasure 2: Book of Secrets;185;Adventure;PG;219961501;267003525
465;Hannah Montana/Miley Cyrus: Best of B…;184;Concert/Performance;G;65281781;76646993
466;Step Up 2 the Streets;184;Drama;PG-13;58017783;68118371
467;College Road Trip;183;Comedy;G;45610425;53550960
468;The Chronicles of Narnia: Prince Caspian;181;Adventure;PG;141621490;166277038
469;WALL-E;179;Adventure;G;223808164;262771918
470;Swing Vote;178;Comedy;PG-13;16289867;19125841
471;Goal! 2: Living the Dream...;177;Drama;PG-13;225067;264247
472;Miracle at St. Anna;176;Drama;R;7916887;9295171
473;Beverly Hills Chihuahua;176;Comedy;PG;94514402;110932022
474;Morning Light;176;Documentary;PG;275093;322979
475;High School Musical 3: Senior Year;175;Musical;G;90559416;106308538
476;Bolt;174;Comedy;PG;114053759;133702498
477;Bedtime Stories;173;Comedy;PG;110101975;128039679
478;Confessions of a Shopaholic;172;Romantic Comedy;PG;44277350;49767744
479;Jonas Brothers: The 3D Concert Experi…;171;Concert/Performance;G;38174685;38174685
480;Race to Witch Mountain;171;Adventure;PG;67172594;75501997
481;Hannah Montana the Movie;170;Drama;G;79576189;89443640
